County,Province_State,concat,Population,Date,Cases,Deaths,dist_from_maxpop,meat_plant
Aitkin,Minnesota,AitkinMinnesota,15886,1/23/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,1/24/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,1/25/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,1/26/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,1/27/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,1/28/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,1/29/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,1/30/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,1/31/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/1/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/2/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/3/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/4/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/5/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/6/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/7/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/8/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/9/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/10/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/11/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/12/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/13/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/14/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/15/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/16/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/17/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/18/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/19/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/20/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/21/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/22/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/23/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/24/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/25/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/26/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/27/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/28/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,2/29/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/1/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/2/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/3/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/4/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/5/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/6/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/7/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/8/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/9/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/10/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/11/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/12/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/13/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/14/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/15/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/16/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/17/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/18/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/19/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/20/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/21/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/22/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/23/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/24/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/25/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/26/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/27/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/28/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/29/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/30/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,3/31/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/1/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/2/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/3/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/4/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/5/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/6/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/7/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/8/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/9/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/10/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/11/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/12/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/13/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/14/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/15/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/16/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/17/20,1,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/18/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/19/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/20/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/21/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/22/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/23/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/24/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/25/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/26/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/27/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/28/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/29/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,4/30/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,5/1/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,5/2/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,5/3/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,5/4/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,5/5/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,5/6/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,5/7/20,0,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,5/8/20,1,0,110.33,N
Aitkin,Minnesota,AitkinMinnesota,15886,5/9/20,0,0,110.33,N
Anoka,Minnesota,AnokaMinnesota,356921,1/23/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,1/24/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,1/25/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,1/26/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,1/27/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,1/28/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,1/29/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,1/30/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,1/31/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/1/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/2/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/3/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/4/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/5/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/6/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/7/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/8/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/9/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/10/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/11/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/12/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/13/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/14/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/15/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/16/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/17/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/18/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/19/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/20/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/21/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/22/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/23/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/24/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/25/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/26/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/27/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/28/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,2/29/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/1/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/2/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/3/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/4/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/5/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/6/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/7/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/8/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/9/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/10/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/11/20,1,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/12/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/13/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/14/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/15/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/16/20,2,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/17/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/18/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/19/20,3,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/20/20,-1,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/21/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/22/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/23/20,2,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/24/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/25/20,0,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/26/20,1,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/27/20,2,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/28/20,2,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/29/20,5,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/30/20,5,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,3/31/20,1,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,4/1/20,3,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,4/2/20,4,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,4/3/20,4,0,21.71,N
Anoka,Minnesota,AnokaMinnesota,356921,4/4/20,2,0,21.71,N
