FIPS,countyname,state,concatenate,max_pop_county,max_pop_countyname,mi_to_county,dist_cat,meat_plant,Population
2020,Anchorage,Alaska,AnchorageAlaska,2020,Anchorage Municipality,0,1,0,288000
2170,Matanuska-Susitna,Alaska,Matanuska-SusitnaAlaska,2020,Anchorage Municipality,69.55,3,0,108317
2122,Kenai Peninsula,Alaska,Kenai PeninsulaAlaska,2020,Anchorage Municipality,117.09,4,0,58708
2261,Valdez-Cordova,Alaska,Valdez-CordovaAlaska,2020,Anchorage Municipality,141.69,4,0,9202
2068,Denali,Alaska,DenaliAlaska,2020,Anchorage Municipality,174.75,5,0,2097
2090,Fairbanks North Star,Alaska,Fairbanks North StarAlaska,2020,Anchorage Municipality,256.84,5,0,96849
2150,Kodiak Island,Alaska,Kodiak IslandAlaska,2020,Anchorage Municipality,293.49,5,0,12998
2290,Yukon-Koyukuk,Alaska,Yukon-KoyukukAlaska,2020,Anchorage Municipality,298.73,5,0,5230
2060,Bristol Bay,Alaska,Bristol BayAlaska,2020,Anchorage Municipality,315.53,6,0,836
2164,Lake and Peninsula,Alaska,Lake and PeninsulaAlaska,2020,Anchorage Municipality,330.3,6,0,1592
2070,Dillingham,Alaska,DillinghamAlaska,2020,Anchorage Municipality,330.5,6,0,4916
2050,Bethel,Alaska,BethelAlaska,2020,Anchorage Municipality,363.79,6,0,18386
2230,Skagway,Alaska,SkagwayAlaska,2020,Anchorage Municipality,487.74,6,0,1183
2100,Haines,Alaska,HainesAlaska,2020,Anchorage Municipality,491.5,6,0,2530
2188,Northwest Arctic,Alaska,Northwest ArcticAlaska,2020,Anchorage Municipality,515.64,6,0,7621
2105,Hoonah-Angoon,Alaska,Hoonah-AngoonAlaska,2020,Anchorage Municipality,535.45,6,0,2148
2185,North Slope,Alaska,North SlopeAlaska,2020,Anchorage Municipality,583.89,6,0,9832
2013,Aleutians East,Alaska,Aleutians EastAlaska,2020,Anchorage Municipality,615.37,6,0,3337
2195,Petersburg,Alaska,PetersburgAlaska,2020,Anchorage Municipality,641.08,6,0,3266
2130,Ketchikan Gateway,Alaska,Ketchikan GatewayAlaska,2020,Anchorage Municipality,765.19,6,0,13901
2016,Aleutians West,Alaska,Aleutians WestAlaska,2020,Anchorage Municipality,1368.11,6,0,5634
1073,Jefferson,Alabama,JeffersonAlabama,1073,Jefferson County,0,1,0,658573
1117,Shelby,Alabama,ShelbyAlabama,1073,Jefferson County,23.7,2,0,217702
1127,Walker,Alabama,WalkerAlabama,1073,Jefferson County,28.49,3,0,63521
1009,Blount,Alabama,BlountAlabama,1073,Jefferson County,34.87,3,0,57826
1115,St. Clair,Alabama,St. ClairAlabama,1073,Jefferson County,35.19,3,0,89512
1007,Bibb,Alabama,BibbAlabama,1073,Jefferson County,39.46,3,0,22394
1043,Cullman,Alabama,CullmanAlabama,1073,Jefferson County,40,3,0,83768
1125,Tuscaloosa,Alabama,TuscaloosaAlabama,1073,Jefferson County,40.44,3,0,209355
1121,Talladega,Alabama,TalladegaAlabama,1073,Jefferson County,43.45,3,0,79978
1021,Chilton,Alabama,ChiltonAlabama,1073,Jefferson County,49.31,3,0,44428
1133,Winston,Alabama,WinstonAlabama,1073,Jefferson County,49.52,3,0,23629
1057,Fayette,Alabama,FayetteAlabama,1073,Jefferson County,50.74,3,0,16302
1037,Coosa,Alabama,CoosaAlabama,1073,Jefferson County,57.19,3,0,10663
1055,Etowah,Alabama,EtowahAlabama,1073,Jefferson County,60.13,3,0,102268
1095,Marshall,Alabama,MarshallAlabama,1073,Jefferson County,61.77,3,0,96774
1103,Morgan,Alabama,MorganAlabama,1073,Jefferson County,62.32,3,0,119679
1027,Clay,Alabama,ClayAlabama,1073,Jefferson County,62.84,3,0,13235
1015,Calhoun,Alabama,CalhounAlabama,1073,Jefferson County,63.58,3,0,113605
1105,Perry,Alabama,PerryAlabama,1073,Jefferson County,67.24,3,0,8923
1065,Hale,Alabama,HaleAlabama,1073,Jefferson County,69.47,3,0,14651
1093,Marion,Alabama,MarionAlabama,1073,Jefferson County,69.48,3,0,29709
1075,Lamar,Alabama,LamarAlabama,1073,Jefferson County,70.36,3,0,13805
1107,Pickens,Alabama,PickensAlabama,1073,Jefferson County,71.45,3,0,19930
1079,Lawrence,Alabama,LawrenceAlabama,1073,Jefferson County,71.72,3,0,32924
1001,Autauga,Alabama,AutaugaAlabama,1073,Jefferson County,71.77,3,0,55869
1063,Greene,Alabama,GreeneAlabama,1073,Jefferson County,78.8,4,0,8111
1051,Elmore,Alabama,ElmoreAlabama,1073,Jefferson County,79.18,4,0,81209
1123,Tallapoosa,Alabama,TallapoosaAlabama,1073,Jefferson County,79.34,4,0,40367
1019,Cherokee,Alabama,CherokeeAlabama,1073,Jefferson County,79.73,4,0,26196
1029,Cleburne,Alabama,CleburneAlabama,1073,Jefferson County,79.85,4,0,14910
1059,Franklin,Alabama,FranklinAlabama,1073,Jefferson County,81.9,4,0,31362
1111,Randolph,Alabama,RandolphAlabama,1073,Jefferson County,84.49,4,0,22722
1047,Dallas,Alabama,DallasAlabama,1073,Jefferson County,85.23,4,0,37196
1089,Madison,Alabama,MadisonAlabama,1073,Jefferson County,85.96,4,0,372909
1083,Limestone,Alabama,LimestoneAlabama,1073,Jefferson County,86.97,4,0,98915
1049,DeKalb,Alabama,DeKalbAlabama,1073,Jefferson County,88.58,4,0,71513
1033,Colbert,Alabama,ColbertAlabama,1073,Jefferson County,94.81,4,0,55241
