county,countyname,state,max_pop_county,max_pop_countyname,mi_to_county,dist_cat
2020,Anchorage Municipality,AK,2020,Anchorage Municipality,0.00,1
1073,Jefferson County,AL,1073,Jefferson County,0.00,1
5119,Pulaski County,AR,5119,Pulaski County,0.00,1
4013,Maricopa County,AZ,4013,Maricopa County,0.00,1
6037,Los Angeles County,CA,6037,Los Angeles County,0.00,1
8031,Denver County,CO,8031,Denver County,0.00,1
9001,Fairfield County,CT,9001,Fairfield County,0.00,1
11001,District of Columbia,DC,11001,District of Columbia,0.00,1
10001,Kenty County,DE,10001,Kent County,0.00,1
12086,Miami-Dade County,FL,12086,Miami-Dade County,0.00,1
13121,Fulton County,GA,13121,Fulton County,0.00,1
15003,Honolulu County,HI,15003,Honolulu County,0.00,1
19153,Polk County,IA,19153,Polk County,0.00,1
16001,Ada County,ID,16001,Ada County,0.00,1
17031,Cook County,IL,17031,Cook County,0.00,1
18097,Marion County,IN,18097,Marion County,0.00,1
20173,Sedgwick County,KS,20173,Sedgwick County,0.00,1
21111,Jefferson County,KY,21111,Jefferson County,0.00,1
22071,Orleans Parish,LA,22017,Orleans Parish,0.00,1
25025,Suffolk County,MA,25025,Suffolk County,0.00,1
24510,Baltimore County,MD,24510,Baltimore County,0.00,1
23005,Cumberland County,ME,23005,Cumberland County,0.00,1
26163,Wayne County,MI,26163,Wayne County,0.00,1
27053,Hennepin County,MN,27053,Hennepin County,0.00,1
29510,St. Louis County,MO,29510,St. Louis County,0.00,1
28049,Hinds County,MS,28049,Hinds County,0.00,1
30111,Yellowstone County,MT,30111,Yellowstone County,0.00,1
37001,Mecklenburg County,NC,37119,Mecklenburg County,0.00,1
38017,Cass County,ND,38017,Cass County,0.00,1
31055,Douglas County,NE,31055,Douglas County,0.00,1
33011,Hillsborough County,NH,33011,HIllsborough County,0.00,1
34021,Mercer County,NJ,34021,Mercer County,0.00,1
35001,Bernalillo County,NM,35001,Bernalillo County,0.00,1
32003,Clark County,NV,32003,Clark County,0.00,1
36061,New York County,NY,36061,New York County,0.00,1
39035,Cuyahoga County,OH,39035,Cuyahoga County,0.00,1
40109,Oklahoma County,OK,40109,Oklahoma County,0.00,1
41051,Multnomah County,OR,41051,MUltnomah County,0.00,1
42101,Philadelphia County,PA,42101,Philadelphia County,0.00,1
72127,San Juan Municipio,PR,72127,San Juan Municipio,0.00,1
44007,Providence County,RI,44007,Providence County,0.00,1
45019,Charleston County,SC,45019,Charleston County,0.00,1
46099,Minnehaha County,SD,46099,Minnehaha County,0.00,1
47037,Davidson County,TN,47037,Davidson County,0.00,1
48113,Dallas County,TX,48113,Dallas County,0.00,1
49035,Salt Lake County,UT,49035,Salt Lake County,0.00,1
51810,Virginia Beach County,VA,51810,Virginia Beach County,0.00,1
50007,Chittenden County,VT,50007,Chittenden County,0.00,1
53033,King County,WA,53033,King County,0.00,1
55079,Milwaukee County,WI,55079,Milwaukee County,0.00,1
54011,Cabell County,WV,54011,Cabell County,0.00,1
56021,Laramie County,WY,56021,Laramie County,0.00,1
72033,Cataño Municipio,PR,72127,San Juan Municipio,5.25,2
72061,Guaynabo Municipio,PR,72127,San Juan Municipio,6.18,2
72031,Carolina Municipio,PR,72127,San Juan Municipio,6.75,2
72139,Trujillo Alto Municipio,PR,72127,San Juan Municipio,7.39,2
36005,Bronx County,NY,36061,New York County,7.90,2
72021,Bayamón Municipio,PR,72127,San Juan Municipio,8.24,2
72137,Toa Baja Municipio,PR,72127,San Juan Municipio,8.53,2
36047,Kings County,NY,36061,New York County,9.82,2
24005,Baltimore County,MD,24510,Baltimore County,9.88,2
36081,Queens County,NY,36061,New York County,10.70,2
29189,St. Louis County,MO,29510,St. Louis County,10.87,2
72087,Loíza Municipio,PR,72127,San Juan Municipio,11.40,2
72063,Gurabo Municipio,PR,72127,San Juan Municipio,11.81,2
13067,Cobb County,GA,13121,Fulton County,12.01,2
72007,Aguas Buenas Municipio,PR,72127,San Juan Municipio,12.12,2
72135,Toa Alta Municipio,PR,72127,San Juan Municipio,12.25,2
31153,Sarpy County,NE,31055,Douglas County,12.79,2
72051,Dorado Municipio,PR,72127,San Juan Municipio,13.09,2
44003,Kent County,RI,44007,Providence County,13.32,2
72029,Canóvanas Municipio,PR,72127,San Juan Municipio,13.59,2
25021,Norfolk County,MA,25025,Suffolk County,13.87,2
13089,DeKalb County,GA,13121,Fulton County,13.95,2
72025,Caguas Municipio,PR,72127,San Juan Municipio,14.64,2
72105,Naranjito Municipio,PR,72127,San Juan Municipio,15.21,2
21029,Bullitt County,KY,21111,Jefferson County,15.40,2
42045,Delaware County,PA,42101,Philadelphia County,15.45,2
51710,Norfolk city,VA,51810,Virginia Beach County,15.73,2
8014,Broomfield County,CO,8031,Denver County,16.06,2
13063,Clayton County,GA,13121,Fulton County,16.73,2
31177,Washington County,NE,31055,Douglas County,16.77,2
51550,Chesapeake city,VA,51810,Virginia Beach County,16.86,2
72045,Comerío Municipio,PR,72127,San Juan Municipio,16.90,2
36085,Richmond County,NY,36061,New York County,17.10,2
24027,Howard County,MD,24510,Baltimore County,17.11,2
72077,Juncos Municipio,PR,72127,San Juan Municipio,17.24,2
72143,Vega Alta Municipio,PR,72127,San Juan Municipio,17.60,2
72119,Río Grande Municipio,PR,72127,San Juan Municipio,17.96,2
21185,Oldham County,KY,21111,Jefferson County,18.19,2
72041,Cidra Municipio,PR,72127,San Juan Municipio,18.20,2
13097,Douglas County,GA,13121,Fulton County,18.22,2
27123,Ramsey County,MN,27053,Hennepin County,18.33,2
55101,Racine County,WI,55079,Milwaukee County,18.52,2
47021,Cheatham County,TN,47037,Davidson County,18.59,2
37025,Cabarrus County,NC,37119,Mecklenburg County,18.60,2
42091,Montgomery County,PA,42101,Philadelphia County,18.68,2
72047,Corozal Municipio,PR,72127,San Juan Municipio,18.80,2
44001,Bristol County,RI,44007,Providence County,18.93,2
34023,Middlesex County,NJ,34021,Mercer County,19.00,2
51740,Portsmouth city,VA,51810,Virginia Beach County,19.19,2
54079,Putnam County,WV,54011,Cabell County,19.30,2
54043,Lincoln County,WV,54011,Cabell County,19.35,2
18057,Hamilton County,IN,18097,Marion County,19.42,2
18059,Hancock County,IN,18097,Marion County,19.46,2
37071,Gaston County,NC,37119,Mecklenburg County,19.64,2
18063,Hendricks County,IN,18097,Marion County,19.91,2
72129,San Lorenzo Municipio,PR,72127,San Juan Municipio,19.95,2
18081,Johnson County,IN,18097,Marion County,19.95,2
47187,Williamson County,TN,47037,Davidson County,19.95,2
34035,Somerset County,NJ,34021,Mercer County,20.05,2
36059,Nassau County,NY,36061,New York County,20.19,2
27019,Carver County,MN,27053,Hennepin County,20.40,2
39085,Lake County,OH,39035,Cuyahoga County,20.48,2
72085,Las Piedras Municipio,PR,72127,San Juan Municipio,20.76,2
54099,Wayne County,WV,54011,Cabell County,21.21,2
24003,Anne Arundel County,MD,24510,Baltimore County,21.37,2
21215,Spencer County,KY,21111,Jefferson County,21.45,2
27003,Anoka County,MN,27053,Hennepin County,21.71,2
72145,Vega Baja Municipio,PR,72127,San Juan Municipio,21.73,2
25017,Middlesex County,MA,25025,Suffolk County,21.74,2
5125,Saline County,AR,5119,Pulaski County,22.10,2
72019,Barranquitas Municipio,PR,72127,San Juan Municipio,22.12,2
34019,Hunterdon County,NJ,34021,Mercer County,22.40,2
42017,Bucks County,PA,42101,Philadelphia County,22.67,2
72035,Cayey Municipio,PR,72127,San Juan Municipio,22.70,2
17043,DuPage County,IL,17031,Cook County,22.85,2
25009,Essex County,MA,25025,Suffolk County,22.88,2
8059,Jefferson County,CO,8031,Denver County,22.88,2
48397,Rockwall County,TX,48113,Dallas County,23.13,2
24025,Harford County,MD,24510,Baltimore County,23.32,2
28149,Warren County,MS,28049,Hinds County,23.36,2
50015,Lamoille County,VT,50007,Chittenden County,23.46,2
21211,Shelby County,KY,21111,Jefferson County,23.56,2
22103,St. Tammany Parish,LA,22071,Orleans Parish,23.60,2
1117,Shelby County,AL,1073,Jefferson County,23.70,2
55089,Ozaukee County,WI,55079,Milwaukee County,23.72,2
72089,Luquillo Municipio,PR,72127,San Juan Municipio,23.78,2
72009,Aibonito Municipio,PR,72127,San Juan Municipio,23.90,2
51650,Hampton city,VA,51810,Virginia Beach County,23.92,2
5085,Lonoke County,AR,5119,Pulaski County,24.01,2
19181,Warren County,IA,19153,Polk County,24.01,2
72101,Morovis Municipio,PR,72127,San Juan Municipio,24.04,2
19049,Dallas County,IA,19153,Polk County,24.30,2
35061,Valencia County,NM,35001,Bernalillo County,24.56,2
46101,Moody County,SD,46099,Minnehaha County,24.57,2
13223,Paulding County,GA,13121,Fulton County,24.60,2
37179,Union County,NC,37119,Mecklenburg County,24.61,2
27139,Scott County,MN,27053,Hennepin County,24.64,2
40027,Cleveland County,OK,40109,Oklahoma County,24.71,2
40083,Logan County,OK,40109,Oklahoma County,24.95,2
19169,Story County,IA,19153,Polk County,24.98,2
47147,Robertson County,TN,47037,Davidson County,25.21,3
29183,St. Charles County,MO,29510,St. Louis County,25.28,3
20079,Harvey County,KS,20173,Sedgwick County,25.34,3
23023,Sagadahoc County,ME,23005,Cumberland County,25.36,3
23001,Androscoggin County,ME,23005,Cumberland County,25.57,3
18145,Shelby County,IN,18097,Marion County,25.57,3
18011,Boone County,IN,18097,Marion County,25.58,3
9009,New Haven County,CT,9001,Fairfield County,25.64,3
5045,Faulkner County,AR,5119,Pulaski County,25.73,3
31155,Saunders County,NE,31055,Douglas County,25.80,3
13113,Fayette County,GA,13121,Fulton County,26.11,3
50023,Washington County,VT,50007,Chittenden County,26.14,3
50013,Grand Isle County,VT,50007,Chittenden County,26.15,3
16027,Canyon County,ID,16001,Ada County,26.21,3
72103,Naguabo Municipio,PR,72127,San Juan Municipio,26.24,3
36087,Rockland County,NY,36061,New York County,26.29,3
54053,Mason County,WV,54011,Cabell County,26.29,3
24029,Kent County,MD,24510,Baltimore County,26.35,3
18109,Morgan County,IN,18097,Marion County,26.56,3
33005,Cheshire County,NH,33011,Hillsborough County,26.59,3
27171,Wright County,MN,27053,Hennepin County,26.66,3
19099,Jasper County,IA,19153,Polk County,26.66,3
26125,Oakland County,MI,26163,Wayne County,26.70,3
31025,Cass County,NE,31055,Douglas County,26.76,3
33013,Merrimack County,NH,33011,Hillsborough County,26.88,3
46083,Lincoln County,SD,46099,Minnehaha County,27.06,3
72069,Humacao Municipio,PR,72127,San Juan Municipio,27.11,3
13247,Rockdale County,GA,13121,Fulton County,27.12,3
22089,St. Charles Parish,LA,22071,Orleans Parish,27.33,3
47165,Sumner County,TN,47037,Davidson County,27.61,3
47189,Wilson County,TN,47037,Davidson County,27.63,3
37109,Lincoln County,NC,37119,Mecklenburg County,27.63,3
72091,Manatí Municipio,PR,72127,San Juan Municipio,27.72,3
28029,Copiah County,MS,28049,Hinds County,27.73,3
25023,Plymouth County,MA,25025,Suffolk County,27.76,3
72107,Orocovis Municipio,PR,72127,San Juan Municipio,27.92,3
26115,Monroe County,MI,26163,Wayne County,27.96,3
13135,Gwinnett County,GA,13121,Fulton County,28.09,3
45015,Berkeley County,SC,45019,Charleston County,28.15,3
34005,Burlington County,NJ,34021,Mercer County,28.18,3
24013,Carroll County,MD,24510,Baltimore County,28.24,3
46087,McCook County,SD,46099,Minnehaha County,28.31,3
1127,Walker County,AL,1073,Jefferson County,28.49,3
36119,Westchester County,NY,36061,New York County,28.51,3
51735,Poquoson city,VA,51810,Virginia Beach County,28.63,3
50011,Franklin County,VT,50007,Chittenden County,28.64,3
72151,Yabucoa Municipio,PR,72127,San Juan Municipio,28.66,3
27163,Washington County,MN,27053,Hennepin County,28.66,3
21179,Nelson County,KY,21111,Jefferson County,28.66,3
41005,Clackamas County,OR,41051,Multnomah County,28.84,3
48139,Ellis County,TX,48113,Dallas County,29.02,3
34025,Monmouth County,NJ,34021,Mercer County,29.06,3
72043,Coamo Municipio,PR,72127,San Juan Municipio,29.07,3
49011,Davis County,UT,49035,Salt Lake County,29.35,3
13151,Henry County,GA,13121,Fulton County,29.47,3
44005,Newport County,RI,44007,Providence County,29.60,3
72109,Patillas Municipio,PR,72127,San Juan Municipio,29.65,3
48439,Tarrant County,TX,48113,Dallas County,29.80,3
46079,Lake County,SD,46099,Minnehaha County,29.81,3
26161,Washtenaw County,MI,26163,Wayne County,29.88,3
50001,Addison County,VT,50007,Chittenden County,29.88,3
8001,Adams County,CO,8031,Denver County,30.14,3
8035,Douglas County,CO,8031,Denver County,30.18,3
8005,Arapahoe County,CO,8031,Denver County,30.28,3
28121,Rankin County,MS,28049,Hinds County,30.35,3
10005,Sussex County,DE,10001,Kent County,30.36,3
55059,Kenosha County,WI,55079,Milwaukee County,30.40,3
47149,Rutherford County,TN,47037,Davidson County,30.47,3
46125,Turner County,SD,46099,Minnehaha County,30.50,3
72039,Ciales Municipio,PR,72127,San Juan Municipio,30.57,3
29099,Jefferson County,MO,29510,St. Louis County,30.73,3
27037,Dakota County,MN,27053,Hennepin County,30.74,3
48257,Kaufman County,TX,48113,Dallas County,30.77,3
20191,Sumner County,KS,20173,Sedgwick County,30.95,3
19015,Boone County,IA,19153,Polk County,30.99,3
72015,Arroyo Municipio,PR,72127,San Juan Municipio,31.16,3
72095,Maunabo Municipio,PR,72127,San Juan Municipio,31.30,3
72057,Guayama Municipio,PR,72127,San Juan Municipio,31.32,3
23031,York County,ME,23005,Cumberland County,31.35,3
40081,Lincoln County,OK,40109,Oklahoma County,31.38,3
13057,Cherokee County,GA,13121,Fulton County,31.39,3
72053,Fajardo Municipio,PR,72127,San Juan Municipio,31.54,3
48085,Collin County,TX,48113,Dallas County,31.70,3
17097,Lake County,IL,17031,Cook County,31.73,3
31053,Dodge County,NE,31055,Douglas County,31.98,3
33015,Rockingham County,NH,33011,Hillsborough County,31.99,3
40017,Canadian County,OK,40109,Oklahoma County,32.08,3
26099,Macomb County,MI,26163,Wayne County,32.16,3
37159,Rowan County,NC,37119,Mecklenburg County,32.19,3
72017,Barceloneta Municipio,PR,72127,San Juan Municipio,32.29,3
72054,Florida Municipio,PR,72127,San Juan Municipio,32.33,3
47043,Dickson County,TN,47037,Davidson County,32.36,3
39093,Lorain County,OH,39035,Cuyahoga County,32.37,3
44009,Washington County,RI,44007,Providence County,32.49,3
42029,Chester County,PA,42101,Philadelphia County,32.72,3
41067,Washington County,OR,41051,Multnomah County,32.93,3
37167,Stanly County,NC,37119,Mecklenburg County,32.98,3
45035,Dorchester County,SC,45019,Charleston County,33.12,3
