county_fips,countyname,state,total_cases
1001,Autauga County,AL,68
1003,Baldwin County,AL,216
1005,Barbour County,AL,58
1007,Bibb County,AL,45
1009,Blount County,AL,44
1011,Bullock County,AL,22
1013,Butler County,AL,178
1015,Calhoun County,AL,124
1017,Chambers County,AL,314
1019,Cherokee County,AL,22
1021,Chilton County,AL,64
1023,Choctaw County,AL,61
1025,Clarke County,AL,52
1027,Clay County,AL,26
1029,Cleburne County,AL,13
1031,Coffee County,AL,146
1033,Colbert County,AL,64
1035,Conecuh County,AL,13
1037,Coosa County,AL,31
1039,Covington County,AL,50
1041,Crenshaw County,AL,38
1043,Cullman County,AL,63
1045,Dale County,AL,43
1047,Dallas County,AL,102
1049,DeKalb County,AL,142
1051,Elmore County,AL,135
1053,Escambia County,AL,36
1055,Etowah County,AL,170
1057,Fayette County,AL,7
1059,Franklin County,AL,216
1061,Geneva County,AL,13
1063,Greene County,AL,70
1065,Hale County,AL,66
1067,Henry County,AL,28
1069,Houston County,AL,104
1071,Jackson County,AL,59
1073,Jefferson County,AL,1109
1075,Lamar County,AL,13
1077,Lauderdale County,AL,88
1079,Lawrence County,AL,22
1081,Lee County,AL,422
1083,Limestone County,AL,57
1085,Lowndes County,AL,96
1087,Macon County,AL,47
1089,Madison County,AL,247
1091,Marengo County,AL,77
1093,Marion County,AL,96
1095,Marshall County,AL,543
1097,Mobile County,AL,1452
1099,Monroe County,AL,15
1101,Montgomery County,AL,576
1103,Morgan County,AL,92
1105,Perry County,AL,19
1107,Pickens County,AL,65
1109,Pike County,AL,89
1111,Randolph County,AL,102
1113,Russell County,AL,77
1115,St. Clair County,AL,81
1117,Shelby County,AL,362
1119,Sumter County,AL,98
1121,Talladega County,AL,73
1123,Tallapoosa County,AL,316
1125,Tuscaloosa County,AL,274
1127,Walker County,AL,106
1129,Washington County,AL,51
1131,Wilcox County,AL,80
1133,Winston County,AL,20
2013,Aleutians East Borough,AK,0
2016,Aleutians West Census Area,AK,0
2020,Municipality of Anchorage,AK,194
2050,Bethel Census Area,AK,1
2060,Bristol Bay Borough,AK,0
2068,Denali Borough,AK,0
2070,Dillingham Census Area,AK,0
2090,Fairbanks North Star Borough,AK,83
2100,Haines Borough,AK,0
2105,Hoonah-Angoon Census Area,AK,0
2110,City and Borough of Juneau,AK,27
2122,Kenai Peninsula Borough,AK,24
2130,Ketchikan Gateway Borough,AK,16
2150,Kodiak Island Borough,AK,1
2158,Kusilvak Census Area,AK,0
2164,Lake and Peninsula Borough,AK,0
2170,Matanuska-Susitna Borough,AK,21
2180,Nome Census Area,AK,1
2185,North Slope Borough,AK,0
2188,Northwest Arctic Borough,AK,0
2195,Petersburg Census Area,AK,4
2198,Prince of Wales-Hyder Census Area,AK,2
2220,Sitka City and Borough,AK,1
2230,Skagway Municipality,AK,0
2240,Southeast Fairbanks Census Area,AK,2
2261,Valdez-Cordova Census Area,AK,0
2270,Wade Hampton Census Area,AK,0
2275,Wrangell City and Borough,AK,0
2282,Yakutat City and Borough,AK,0
2290,Yukon-Koyukuk Census Area,AK,1
4001,Apache County,AZ,710
4003,Cochise County,AZ,41
4005,Coconino County,AZ,679
4007,Gila County,AZ,19
4009,Graham County,AZ,19
4011,Greenlee County,AZ,2
4012,La Paz County,AZ,22
4013,Maricopa County,AZ,5779
4015,Mohave County,AZ,178
4017,Navajo County,AZ,981
4019,Pima County,AZ,1554
4021,Pinal County,AZ,585
4023,Santa Cruz County,AZ,40
4025,Yavapai County,AZ,175
4027,Yuma County,AZ,176
5001,Arkansas County,AR,2
5003,Ashley County,AR,17
5005,Baxter County,AR,5
5007,Benton County,AR,116
5009,Boone County,AR,4
5011,Bradley County,AR,11
5013,Calhoun County,AR,0
5015,Carroll County,AR,5
5017,Chicot County,AR,10
5019,Clark County,AR,32
5021,Clay County,AR,3
5023,Cleburne County,AR,72
5025,Cleveland County,AR,13
5027,Columbia County,AR,15
5029,Conway County,AR,13
5031,Craighead County,AR,92
5033,Crawford County,AR,5
5035,Crittenden County,AR,205
5037,Cross County,AR,27
5039,Dallas County,AR,1
5041,Desha County,AR,16
5043,Drew County,AR,19
5045,Faulkner County,AR,81
5047,Franklin County,AR,2
5049,Fulton County,AR,3
5051,Garland County,AR,118
5053,Grant County,AR,15
5055,Greene County,AR,22
5057,Hempstead County,AR,7
5059,Hot Spring County,AR,22
5061,Howard County,AR,14
5063,Independence County,AR,12
5065,Izard County,AR,11
5067,Jackson County,AR,1
5069,Jefferson County,AR,226
5071,Johnson County,AR,34
5073,Lafayette County,AR,9
5075,Lawrence County,AR,69
5077,Lee County,AR,4
5079,Lincoln County,AR,907
5081,Little River County,AR,0
5083,Logan County,AR,3
5085,Lonoke County,AR,43
5087,Madison County,AR,1
5089,Marion County,AR,1
5091,Miller County,AR,36
5093,Mississippi County,AR,47
5095,Monroe County,AR,4
5097,Montgomery County,AR,1
5099,Nevada County,AR,3
5101,Newton County,AR,3
5103,Ouachita County,AR,8
5105,Perry County,AR,7
5107,Phillips County,AR,4
5109,Pike County,AR,3
5111,Poinsett County,AR,25
5113,Polk County,AR,7
5115,Pope County,AR,47
5117,Prairie County,AR,2
5119,Pulaski County,AR,603
5121,Randolph County,AR,21
5123,St. Francis County,AR,108
5125,Saline County,AR,72
5127,Scott County,AR,1
5129,Searcy County,AR,6
5131,Sebastian County,AR,14
5133,Sevier County,AR,16
5135,Sharp County,AR,8
5137,Stone County,AR,8
5139,Union County,AR,73
5141,Van Buren County,AR,28
5143,Washington County,AR,105
5145,White County,AR,35
5147,Woodruff County,AR,1
5149,Yell County,AR,7
6000,Grand Princess Cruise Ship,CA,21
6001,Alameda County,CA,2023
6003,Alpine County,CA,2
6005,Amador County,CA,8
6007,Butte County,CA,18
6009,Calaveras County,CA,13
6011,Colusa County,CA,3
6013,Contra Costa County,CA,1036
6015,Del Norte County,CA,3
6017,El Dorado County,CA,54
6019,Fresno County,CA,885
6021,Glenn County,CA,6
6023,Humboldt County,CA,57
6025,Imperial County,CA,512
6027,Inyo County,CA,19
6029,Kern County,CA,1228
6031,Kings County,CA,275
6033,Lake County,CA,8
6035,Lassen County,CA,0
6037,Los Angeles County,CA,31197
6039,Madera County,CA,67
6041,Marin County,CA,257
6043,Mariposa County,CA,15
6045,Mendocino County,CA,12
6047,Merced County,CA,163
6049,Modoc County,CA,0
6051,Mono County,CA,29
6053,Monterey County,CA,277
6055,Napa County,CA,79
6057,Nevada County,CA,41
6059,Orange County,CA,3380
6061,Placer County,CA,168
6063,Plumas County,CA,4
6065,Riverside County,CA,4992
6067,Sacramento County,CA,1165
6069,San Benito County,CA,55
6071,San Bernardino County,CA,2902
6073,San Diego County,CA,4776
6075,San Francisco County,CA,1891
6077,San Joaquin County,CA,605
6079,San Luis Obispo County,CA,214
6081,San Mateo County,CA,1425
6083,Santa Barbara County,CA,1250
6085,Santa Clara County,CA,2307
6087,Santa Cruz County,CA,141
6089,Shasta County,CA,31
6091,Sierra County,CA,0
6093,Siskiyou County,CA,5
6095,Solano County,CA,351
6097,Sonoma County,CA,300
6099,Stanislaus County,CA,496
6101,Sutter County,CA,33
6103,Tehama County,CA,1
6105,Trinity County,CA,0
6107,Tulare County,CA,1079
6109,Tuolumne County,CA,2
6111,Ventura County,CA,666
6113,Yolo County,CA,172
6115,Yuba County,CA,20
8001,Adams County,CO,2205
8003,Alamosa County,CO,25
8005,Arapahoe County,CO,3228
8007,Archuleta County,CO,8
8009,Baca County,CO,12
8011,Bent County,CO,0
8013,Boulder County,CO,757
8014,Broomfield County and City,CO,195
8015,Chaffee County,CO,68
8017,Cheyenne County,CO,4
8019,Clear Creek County,CO,14
8021,Conejos County,CO,1
8023,Costilla County,CO,3
8025,Crowley County,CO,39
8027,Custer County,CO,2
8029,Delta County,CO,54
8031,Denver County,CO,4001
8033,Dolores County,CO,0
8035,Douglas County,CO,591
8037,Eagle County,CO,558
8039,Elbert County,CO,39
8041,El Paso County,CO,1109
8043,Fremont County,CO,23
8045,Garfield County,CO,103
8047,Gilpin County,CO,1
